product,verified,rating,date,author,content,title
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2017,Anonymous,"This, like Nests indoor cameras, has an outstanding quality image and the recordings are very nice to have. The paid service to save your history is a bit overpriced in my opinion so you may want to pick and choose which cameras you subscribe to.

The unit itself is well built quality wise, the camera is easy to mount and aim and stays in place well with the super strong magnet that holds it.

However, the cable design is absolutely awful. You have 25 total feet of cable, in two 10 and 15 foot sections. And right in the middle of these two sections is a huge round blob/block that connects the two. Hiding the cable is a little difficult since its thick, so thieves could easily see it and cut the cable or just cover their face and cut the cable right at the camera itself and then have no issues. The big round block is so big it stands out like a sore thumb, inviting thieves to simply unplug it and then they are no longer on camera. And it's also so big that putting it inside of a standard electrical box is the only real option you have to hide it... aside form having it hidden behind the wall outside which could be a code violation.

I believe it needs a safety cuff around the cable at the camera that is coated with something that can't be cut, there needs to be a screw or similar to make it stay attached to the magnet and the cable design needs to be completely redone by someone who knows what they are doing.

With that said, the quality is excellent both night and day and having quick and easy access via the Nest app anywhere is really nice. Mine alerts me when packages arrive, the mail is here, people come to my yard etc.

I would give the installation a real serious going over and consult with your electrician before buying this product, especially if you have a window inside you can simply place one of the indoor cams in to see outside. That exposed cable is just too much of a security risk, ironic since its supposed to be a security camera.",Great camera - terrible cable design
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Drent,"Love our Nest security system, Works awesome with other nest and Google home products.",Nest Cameras
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Jaguilar,This is a fine product! Wi-Fi based connection is really convenient. Highly recommend this one.,Outdoor security camera
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2017,Pbru,"Quality is good. Sensor detects movement even at a distance. Only frustration was with the install to interior power. Have to drill a large hole to feed the power connection through. Ended up plugging the hole with a 1 inch dowel, notched for the cord and spackeling the interior hole. You would think the nest design team would anticipate this and make a plug for the exterior and interior holes. Also, I now have 4 cameras and think they should provide a break or bundle price for the annual nest aware fees or include 1st year free after your third camera. Expensive equipment and expensive annual fees for surveillance history.","Great camera, installation was a pain."
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,GabeG,Love this camera. The 24hr surveillance is awesome. I see it all haha. Loud Noise detection is also a plus.,Love this can
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Juan,"It is very easy to install, great quality. On top of that, very easy to set up in your phone",Great camera
Google - Nest Cam Outdoor security camera - White,1,5,23 May 2020,videoReviews,"I decided to get these cameras for indoor use.  The magnetic mount allows attaching the camera directly to a metal surface and then rotate and position very easily. 

For exterior installations, I find the cord is really hard to hide, or to make look good. 

The NEST mobile phone software is the best.  The app has smooth scrolling of the continuous 24/7 video footage.",Great cameras!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,camera,great product worked out greaat easy instllationn great customer service,great product
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Sire,Works great! Great quality video and sound! Easy to install.,Great video!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,robjmarks,"Best sister, , integrates with nest perfect ... easy to install",Best outside cam
